iter	Logloss
204	0.3463646785
205	0.3460117561
206	0.3457813092
207	0.3454847269
208	0.3449799958
209	0.3446171217
210	0.3444397006
211	0.3440868123
212	0.3437765727
213	0.3434982788
214	0.3431570771
215	0.3427913515
216	0.3425128453
217	0.3422765763
218	0.3419771281
219	0.3417392275
220	0.3413947171
221	0.3410924994
222	0.3407900591
223	0.3404987859
224	0.3402135034
225	0.3400068593
226	0.339775959
227	0.3395854555
228	0.3392264212
229	0.3389008721
230	0.3386248505
231	0.33840693
232	0.3381575945
233	0.337918949
234	0.3377169933
235	0.3375314463
236	0.3372849778
237	0.3368125108
238	0.3364878774
239	0.3362768653
240	0.3360300803
241	0.3355818906
242	0.3353969674
243	0.3351645779
244	0.3349844327
245	0.3346224683
246	0.3344099118
247	0.3340239857
248	0.3337478872
249	0.3334733815
250	0.3332820742
251	0.3329741376
252	0.3326470491
253	0.3325484116
254	0.3322913371
255	0.3320064343
256	0.3316751292
257	0.331409496
258	0.3311332713
259	0.3308990213
260	0.330722143
261	0.3304374811
262	0.3301276682
263	0.3299486104
264	0.3296792446
265	0.329472797
266	0.3290351833
267	0.3288237831
268	0.3285738648
269	0.32838808
270	0.3282867993
271	0.3281506545
272	0.3278983195
273	0.3276548529
274	0.3273995435
275	0.3271201053
276	0.3269514297
277	0.3267312235
278	0.3264996507
279	0.3262459893
280	0.3259567058
281	0.325567363
282	0.325322098
283	0.3251397357
284	0.3248057587
285	0.3246333223
286	0.324308924
287	0.3239437211
288	0.3237330001
289	0.3233513749
290	0.3231781148
291	0.3229657017
292	0.3226239371
293	0.3222329063
294	0.3219913764
295	0.3215399442
296	0.3213388329
297	0.3210344017
298	0.3206170315
299	0.3204142203
300	0.3200817826
301	0.3199636643
302	0.3195715179
303	0.3193502578
304	0.319260832
305	0.3190450868
306	0.3189434601
307	0.3185703479
308	0.3183849994
309	0.3181957405
310	0.3179095809
311	0.3176710866
312	0.3174198038
313	0.3171982964
314	0.3167581949
315	0.3167060023
316	0.3163002323
317	0.3160926379
318	0.3158290693
319	0.3154982263
320	0.3152043255
321	0.3150197119
322	0.314821658
323	0.3145864172
324	0.3143567186
325	0.3141712361
326	0.3140122261
327	0.3136121664
328	0.3133711532
329	0.3131097599
330	0.3127753877
331	0.3126323415
332	0.3125034688
333	0.3122989594
334	0.3121179298
335	0.311927491
336	0.3116575006
337	0.3115218236
338	0.3111640408
339	0.3109770101
340	0.3107659259
341	0.3104454394
342	0.3100786367
343	0.3097579964
344	0.3096202392
345	0.3094161983
346	0.3092477057
347	0.3090520185
348	0.3089328038
349	0.3085684372
350	0.3082281416
351	0.3080113255
352	0.3075699949
353	0.3073983458
354	0.3071366017
355	0.3069688089
356	0.3066805826
357	0.3065277069
358	0.3061733843
359	0.3059214868
360	0.3056378884
361	0.3054369743
362	0.3052785071
363	0.3050392854
364	0.3046018971
365	0.3043050579
366	0.3040330502
367	0.3038299198
368	0.3035516221
369	0.3032097148
370	0.3028705084
371	0.3027163364
372	0.302667921
373	0.3023729483
374	0.3021796295
375	0.3020482898
376	0.3014577354
377	0.3012787578
378	0.3008950118
379	0.3007064022
380	0.3005074053
381	0.3002563049
382	0.3000807717
383	0.2998553776
384	0.2996691814
385	0.2994876924
386	0.2990877511
387	0.2987466399
388	0.2984831042
389	0.2981972569
390	0.29799407
391	0.2977570429
392	0.2973783743
393	0.297111343
394	0.296835855
395	0.2966247343
396	0.2963731178
397	0.2961458108
398	0.2958829153
399	0.2957207885
400	0.2955280553
401	0.2953646918
402	0.2950988798
403	0.2948380515
404	0.2945931761
405	0.2944155566
406	0.2942382335
407	0.2940326498
408	0.2939127052
409	0.2936830914
410	0.2934985977
411	0.2932951555
412	0.2931211477
413	0.292929683
414	0.292610122
415	0.2922646555
416	0.2919414946
417	0.2917260151
418	0.2914870869
419	0.2911840492
420	0.2909787492
421	0.2906580113
422	0.2903352694
423	0.2899231853
424	0.2895181224
425	0.2893095989
426	0.2891456795
427	0.2888600382
428	0.2886980221
429	0.2885641256
430	0.288072708
431	0.2876513621
432	0.2874860154
433	0.2871811029
434	0.2869621624
435	0.2868142262
436	0.2865681608
437	0.2864164694
438	0.2861618323
439	0.2859245049
440	0.2857848788
441	0.2856232596
442	0.2854504564
443	0.2853391366
444	0.2851036471
445	0.2849625643
446	0.2847484392
447	0.2845050413
448	0.2842105974
449	0.2839369869
450	0.2838099768
451	0.2836682739
452	0.2833685331
453	0.2831843826
454	0.2830007388
455	0.2827819584
456	0.2824456326
457	0.2821883405
458	0.2820151475
459	0.2818709519
460	0.2817366919
461	0.2815862627
462	0.2813548186
463	0.2811690601
464	0.2810119278
465	0.2808581846
466	0.2806508054
467	0.2805199905
468	0.2803381992
469	0.2801351003
470	0.2796681942
471	0.2794405592
472	0.2791503693
473	0.2790201841
474	0.2788323752
475	0.2787262345
476	0.2784048713
477	0.2781811146
478	0.2780227347
479	0.2778852028
480	0.2778115221
481	0.2776909194
482	0.2775132564
483	0.2773822364
484	0.2771674211
485	0.277058747
486	0.2768149348
487	0.2765647592
488	0.276407567
489	0.2761148354
490	0.2759154999
491	0.275699928
492	0.2754868386
493	0.2752610958
494	0.2751418218
495	0.2749320975
496	0.2747100598
497	0.2745830422
498	0.2743697322
499	0.2741678399
