iter	Logloss
0	0.6588148133
1	0.6305397615
2	0.6036529832
3	0.5826173414
4	0.5656215014
5	0.5510816372
6	0.5344737883
7	0.5210262543
8	0.5101661193
9	0.4994898624
10	0.490452232
11	0.4828543972
12	0.474930101
13	0.4681824823
14	0.4627728728
15	0.4565757108
16	0.4519247712
17	0.4478337526
18	0.4442820694
19	0.4406981178
20	0.4379612131
21	0.4342653478
22	0.4318479719
23	0.429683269
24	0.4275053886
25	0.4253305035
26	0.4233752506
27	0.4217142012
28	0.4208862134
29	0.419218708
30	0.4176875012
31	0.4163739419
32	0.4150010501
33	0.413734702
34	0.4126163625
35	0.4115812522
36	0.4105937669
37	0.4092459697
38	0.4083187094
39	0.4072086618
40	0.4063805905
41	0.4055096039
42	0.4045772447
43	0.4034688169
44	0.4027532289
45	0.4022612135
46	0.4017668856
47	0.4009162503
48	0.4002423002
49	0.3995506994
50	0.3989949331
51	0.3984020918
52	0.3976975377
53	0.3969588531
54	0.3963900537
55	0.3960101839
56	0.3953090359
57	0.3946994804
58	0.3941764149
59	0.3936466981
60	0.3929667434
61	0.3922999578
62	0.3918476516
63	0.3912800275
64	0.3907634454
65	0.3903748803
66	0.3898706171
67	0.3894834839
68	0.3890548846
69	0.388689555
70	0.3882775963
71	0.3879171375
72	0.3875054232
73	0.3871355482
74	0.3866680038
75	0.3863216638
76	0.3860202109
77	0.3855399209
78	0.3850168335
79	0.384708756
80	0.3843260338
81	0.3840215267
82	0.3837475737
83	0.3833220987
84	0.3829945057
85	0.3827868414
86	0.3824204434
87	0.3819720302
88	0.3816469042
89	0.3816195599
90	0.3810086655
91	0.3806867427
92	0.3801985187
93	0.3798258982
94	0.379617628
95	0.3791967499
96	0.3788837475
97	0.3787069331
98	0.3785419847
99	0.3782721498
100	0.3780169366
101	0.3775988959
102	0.3773034955
103	0.3771591323
104	0.3767374511
105	0.3765104568
106	0.3762120394
107	0.3758402985
108	0.3754174406
109	0.3751013417
110	0.3746437823
111	0.374317353
112	0.3741263908
113	0.373682504
114	0.3731884559
115	0.3728588925
116	0.372531927
117	0.372078099
118	0.3719122987
119	0.3716038052
120	0.3713583207
121	0.3710089611
122	0.3707568118
123	0.3705101663
124	0.3700920485
125	0.3697681766
126	0.3693219223
127	0.3690178835
128	0.3686865547
129	0.36814995
130	0.3678384808
131	0.3676601718
132	0.3673466645
133	0.3671125348
134	0.3667131632
135	0.3662638061
136	0.3660547838
137	0.3657168428
138	0.3654541754
139	0.3652384689
140	0.3650384819
141	0.3648649694
142	0.364423796
143	0.3640712556
144	0.3637528456
145	0.363504995
146	0.3631848722
147	0.3629826392
148	0.3625986202
149	0.3622598798
150	0.3620112975
151	0.3615760451
152	0.3613183407
153	0.3610810299
154	0.3607719242
155	0.3604357845
156	0.3600620934
157	0.3597313299
158	0.3593977824
159	0.3591473796
160	0.3588458558
161	0.3586250463
162	0.3583873292
163	0.3579357588
164	0.3575964766
165	0.3573493619
166	0.3569854972
167	0.3565356289
168	0.3562761697
169	0.3560210979
170	0.3556168829
171	0.3553649674
172	0.3550022062
173	0.3546422112
174	0.3544640952
175	0.354073852
176	0.353879868
177	0.3536953838
178	0.3533619754
179	0.3531250817
180	0.3526108048
181	0.3525174883
182	0.3523309079
183	0.3520155418
184	0.351790551
185	0.3516543457
186	0.3515049939
187	0.3510356874
188	0.3508217535
189	0.3504294797
190	0.3500649297
191	0.3498588489
192	0.3496584248
193	0.3495122462
194	0.3492899737
195	0.3491085394
196	0.3487996843
197	0.3485033894
198	0.3482414149
199	0.3479306621
200	0.3475685624
201	0.3471285389
202	0.3468188454
203	0.3466685681
